tANN,tANNT,tCNN,tCNNT,tRNN,tRNNT
4.519028425216675,8.617948055267334,8.533390045166016,11.333659887313843,15.664959907531738,21.77548098564148
4.528705596923828,8.89316987991333,5.121279716491699,11.636922836303711,15.98679804801941,22.35514187812805
4.722471475601196,8.823243379592896,5.143294811248779,11.69621753692627,16.80184268951416,21.974607229232788
4.784380912780762,9.036203861236572,5.1843438148498535,11.662319898605347,16.260095596313477,22.862473487854004
4.702484607696533,9.26541543006897,5.317025899887085,12.08290982246399,16.234456062316895,23.518142700195312
4.889875411987305,9.383127689361572,5.273887634277344,11.921400547027588,16.46558928489685,22.511518716812134
4.8358354568481445,9.832138538360596,5.580476760864258,11.940543174743652,16.91152048110962,22.51651406288147
4.950103044509888,9.14172625541687,5.342430353164673,12.041754484176636,16.769447803497314,22.495957851409912
5.006800889968872,9.434762239456177,5.470932722091675,12.424434661865234,17.259909629821777,22.640860319137573
4.9177632331848145,9.563800811767578,5.5710320472717285,12.313994407653809,16.578173637390137,22.791027069091797
